project_id,origin_id,class_name,line_coverage_pct,branch_coverage_pct,cyclomatic_complexity,mutation_coverage_pct,test_strength_pct,mutants_killed,mutants_total
cli,developer,org.apache.commons.cli.AlreadySelectedException,100.0,0.0,5,100.0,100.0,2,2
cli,developer,org.apache.commons.cli.AmbiguousOptionException,100.0,100.0,5,25.0,25.0,1,4
cli,developer,org.apache.commons.cli.BasicParser,100.0,0.0,2,100.0,100.0,1,1
cli,developer,org.apache.commons.cli.CommandLine,99.0,100.0,116,98.0,98.0,134,137
cli,developer,org.apache.commons.cli.CommandLine.Builder,100.0,100.0,10,0.0,0.0,0,0
cli,developer,org.apache.commons.cli.Converter,100.0,100.0,7,0.0,0.0,0,0
cli,developer,org.apache.commons.cli.DefaultParser,98.0,92.0,135,94.0,95.0,178,189
cli,developer,org.apache.commons.cli.DefaultParser.Builder,100.0,0.0,6,0.0,0.0,0,0
cli,developer,org.apache.commons.cli.DefaultParser.NonOptionAction,100.0,0.0,1,0.0,0.0,0,0
cli,developer,org.apache.commons.cli.DeprecatedAttributes,100.0,100.0,12,100.0,100.0,13,13
cli,developer,org.apache.commons.cli.DeprecatedAttributes.Builder,100.0,0.0,5,0.0,0.0,0,0
cli,developer,org.apache.commons.cli.GnuParser,100.0,100.0,13,100.0,100.0,16,16
cli,developer,org.apache.commons.cli.HelpFormatter,98.0,93.0,118,92.0,92.0,148,161
cli,developer,org.apache.commons.cli.HelpFormatter.Builder,100.0,100.0,9,0.0,0.0,0,0
cli,developer,org.apache.commons.cli.HelpFormatter.OptionComparator,100.0,0.0,1,0.0,0.0,0,0
cli,developer,org.apache.commons.cli.MissingArgumentException,100.0,0.0,3,100.0,100.0,1,1
cli,developer,org.apache.commons.cli.MissingOptionException,100.0,100.0,5,100.0,100.0,4,4
cli,developer,org.apache.commons.cli.Option,98.0,95.0,94,93.0,93.0,110,118
cli,developer,org.apache.commons.cli.Option.Builder,100.0,100.0,27,0.0,0.0,0,0
cli,developer,org.apache.commons.cli.OptionBuilder,95.0,100.0,23,39.0,41.0,12,31
cli,developer,org.apache.commons.cli.OptionGroup,100.0,93.0,18,100.0,100.0,16,16
cli,developer,org.apache.commons.cli.OptionValidator,96.0,100.0,18,95.0,95.0,18,19
cli,developer,org.apache.commons.cli.Options,94.0,100.0,32,89.0,94.0,33,37
cli,developer,org.apache.commons.cli.ParseException,100.0,100.0,5,100.0,100.0,4,4
cli,developer,org.apache.commons.cli.Parser,98.0,95.0,50,98.0,98.0,59,60
cli,developer,org.apache.commons.cli.PatternOptionBuilder,93.0,97.0,34,97.0,100.0,30,31
cli,developer,org.apache.commons.cli.PosixParser,100.0,100.0,33,98.0,98.0,42,43
cli,developer,org.apache.commons.cli.TypeHandler,95.0,100.0,20,100.0,100.0,16,16
cli,developer,org.apache.commons.cli.UnrecognizedOptionException,100.0,0.0,3,100.0,100.0,1,1
cli,developer,org.apache.commons.cli.Util,94.0,83.0,17,88.0,100.0,21,24
cli,developer,org.apache.commons.cli.help.AbstractHelpFormatter,97.0,100.0,37,94.0,98.0,47,50
cli,developer,org.apache.commons.cli.help.AbstractHelpFormatter.Builder,100.0,50.0,12,0.0,0.0,0,0
cli,developer,org.apache.commons.cli.help.FilterHelpAppendable,78.0,0.0,4,0.0,0.0,0,3
cli,developer,org.apache.commons.cli.help.HelpAppendable,100.0,0.0,2,100.0,100.0,1,1
cli,developer,org.apache.commons.cli.help.HelpFormatter,100.0,100.0,8,90.0,90.0,9,10
cli,developer,org.apache.commons.cli.help.HelpFormatter.Builder,100.0,0.0,3,0.0,0.0,0,0
