project_id,origin_id,class_name,line_coverage_pct,branch_coverage_pct,cyclomatic_complexity,mutation_coverage_pct,test_strength_pct,mutants_killed,mutants_total
collections,developer,org.apache.commons.collections4.bag.AbstractBagDecorator,100.0,0.0,4,100.0,58.21,4,4
collections,developer,org.apache.commons.collections4.bag.AbstractMapBag,56.23,61.36,11,74.4,94.49,11,15
collections,developer,org.apache.commons.collections4.bag.AbstractSortedBagDecorator,79.31,62.32,6,72.52,64.29,8,11
collections,developer,org.apache.commons.collections4.bag.CollectionBag,100.0,100.0,10,79.7,81.09,12,15
collections,developer,org.apache.commons.collections4.bag.CollectionSortedBag,88.24,87.66,4,73.48,76.17,2,3
collections,developer,org.apache.commons.collections4.bag.HashBag,55.54,35.13,4,77.16,77.37,3,4
collections,developer,org.apache.commons.collections4.bag.PredicatedBag,73.59,87.6,59,85.14,54.07,69,81
collections,developer,org.apache.commons.collections4.bag.PredicatedSortedBag,100.0,89.02,25,68.34,70.58,14,21
collections,developer,org.apache.commons.collections4.bag.SynchronizedBag,74.94,51.8,11,68.93,91.81,8,11
collections,developer,org.apache.commons.collections4.bag.SynchronizedSortedBag,84.16,0.0,8,79.53,88.61,6,7
collections,developer,org.apache.commons.collections4.bag.TransformedBag,100.0,89.23,2,86.4,89.78,2,2
collections,developer,org.apache.commons.collections4.bag.TransformedSortedBag,100.0,76.9,2,85.42,82.77,1,1
collections,developer,org.apache.commons.collections4.bag.TreeBag,97.63,77.12,4,67.39,87.37,1,2
collections,developer,org.apache.commons.collections4.bag.UnmodifiableBag,100.0,100.0,11,100.0,81.83,8,8
collections,developer,org.apache.commons.collections4.bag.UnmodifiableSortedBag,96.66,91.42,13,65.48,69.86,10,15
collections,developer,org.apache.commons.collections4.bidimap.AbstractBidiMapDecorator,62.88,74.5,8,72.46,65.56,9,13
collections,developer,org.apache.commons.collections4.bidimap.AbstractDualBidiMap,98.13,0.0,3,80.29,79.29,1,1
collections,developer,org.apache.commons.collections4.bidimap.DualHashBidiMap,97.71,100.0,6,100.0,82.08,6,6
collections,developer,org.apache.commons.collections4.bidimap.DualLinkedHashBidiMap,73.45,0.0,3,64.56,98.33,1,1
collections,developer,org.apache.commons.collections4.bidimap.DualTreeBidiMap,75.96,53.69,5,67.6,98.33,5,8
collections,developer,org.apache.commons.collections4.bidimap.TreeBidiMap,100.0,88.99,3,100.0,68.73,4,4
collections,developer,org.apache.commons.collections4.bidimap.UnmodifiableBidiMap,97.4,99.15,5,62.34,80.29,2,4
collections,developer,org.apache.commons.collections4.bidimap.UnmodifiableOrderedBidiMap,100.0,100.0,12,88.6,97.44,13,15
collections,developer,org.apache.commons.collections4.bidimap.UnmodifiableSortedBidiMap,60.54,0.0,2,63.98,79.05,1,1
collections,developer,org.apache.commons.collections4.collection.AbstractCollectionDecorator,67.28,48.68,18,93.98,82.01,21,22
collections,developer,org.apache.commons.collections4.collection.CompositeCollection,91.14,98.54,4,85.44,87.88,4,5
collections,developer,org.apache.commons.collections4.collection.IndexedCollection,100.0,100.0,9,68.52,83.51,10,15
collections,developer,org.apache.commons.collections4.collection.PredicatedCollection,100.0,0.0,13,72.53,96.52,9,13
collections,developer,org.apache.commons.collections4.collection.SynchronizedCollection,98.23,95.9,9,62.13,82.38,6,9
collections,developer,org.apache.commons.collections4.collection.TransformedCollection,100.0,100.0,13,100.0,78.78,16,16
collections,developer,org.apache.commons.collections4.collection.UnmodifiableBoundedCollection,93.15,73.69,5,94.41,94.84,6,6
collections,developer,org.apache.commons.collections4.collection.UnmodifiableCollection,98.19,93.93,12,84.55,78.52,9,11
collections,developer,org.apache.commons.collections4.comparator.BooleanComparator,79.66,70.83,3,90.85,75.5,3,3
collections,developer,org.apache.commons.collections4.comparator.ComparableComparator,100.0,80.39,26,87.56,82.13,23,26
collections,developer,org.apache.commons.collections4.comparator.ComparatorChain,78.56,66.76,17,100.0,94.96,27,27
collections,developer,org.apache.commons.collections4.comparator.FixedOrderComparator,82.9,54.37,7,75.11,78.17,8,10
collections,developer,org.apache.commons.collections4.comparator.NullComparator,98.78,88.45,10,85.58,98.01,11,13
collections,developer,org.apache.commons.collections4.comparator.ReverseComparator,99.13,94.71,14,79.79,69.53,10,12
collections,developer,org.apache.commons.collections4.comparator.TransformingComparator,90.92,72.12,18,51.53,86.02,11,22
collections,developer,org.apache.commons.collections4.functors.AllPredicate,65.82,62.34,15,93.79,85.02,16,17
collections,developer,org.apache.commons.collections4.functors.AndPredicate,85.47,0.0,10,91.01,85.84,9,10
collections,developer,org.apache.commons.collections4.functors.AnyPredicate,100.0,81.46,11,83.52,74.54,8,10
