project_id,origin_id,class_name,line_coverage_pct,branch_coverage_pct,cyclomatic_complexity,mutation_coverage_pct,test_strength_pct,mutants_killed,mutants_total
compress,developer,org.apache.commons.compress.archivers.ArchiveEntry,34.82,15.48,13,64.05,57.42,12,19
compress,developer,org.apache.commons.compress.archivers.ArchiveException,86.76,88.71,24,30.05,56.09,10,32
compress,developer,org.apache.commons.compress.archivers.ArchiveInputStream,56.16,0.0,3,10.84,64.64,0,1
compress,developer,org.apache.commons.compress.archivers.ArchiveOutputStream,57.25,35.23,8,42.85,48.24,3,7
compress,developer,org.apache.commons.compress.archivers.ArchiveStreamFactory,76.19,0.0,2,22.1,82.63,0,2
compress,developer,org.apache.commons.compress.archivers.Lister,92.36,82.19,7,42.27,53.12,5,11
compress,developer,org.apache.commons.compress.archivers.ar.ArArchiveEntry,31.8,44.02,7,81.61,73.0,10,12
compress,developer,org.apache.commons.compress.archivers.ar.ArArchiveInputStream,47.44,22.54,18,32.72,65.34,9,29
compress,developer,org.apache.commons.compress.archivers.ar.ArArchiveOutputStream,65.99,66.7,2,52.45,54.62,1,2
compress,developer,org.apache.commons.compress.archivers.arj.ArjArchiveEntry,32.76,21.57,2,36.59,64.26,1,2
compress,developer,org.apache.commons.compress.archivers.arj.ArjArchiveInputStream,100.0,0.0,6,25.47,68.87,1,4
compress,developer,org.apache.commons.compress.archivers.arj.LocalFileHeader,94.5,0.0,6,39.08,78.73,1,3
compress,developer,org.apache.commons.compress.archivers.arj.MainHeader,100.0,82.86,33,54.27,42.19,24,44
compress,developer,org.apache.commons.compress.archivers.cpio.CpioArchiveEntry,20.89,3.77,6,23.76,49.58,2,8
compress,developer,org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream,47.34,46.28,6,57.07,67.11,5,8
compress,developer,org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,14.45,18.55,7,29.07,54.5,3,10
compress,developer,org.apache.commons.compress.archivers.cpio.CpioConstants,90.85,70.32,3,40.72,61.03,0,1
compress,developer,org.apache.commons.compress.archivers.cpio.CpioUtil,82.84,79.61,2,93.55,74.83,1,1
compress,developer,org.apache.commons.compress.archivers.dump.DumpArchiveConstants,71.54,62.67,2,20.82,64.68,1,3
compress,developer,org.apache.commons.compress.archivers.dump.DumpArchiveEntry,100.0,100.0,3,55.91,35.82,1,2
