project_id,origin_id,class_name,line_coverage_pct,branch_coverage_pct,cyclomatic_complexity,mutation_coverage_pct,test_strength_pct,mutants_killed,mutants_total
lang,developer,org.apache.commons.lang3.ArrayUtils,92.64,63.93,46,56.79,83.57,45,80
lang,developer,org.apache.commons.lang3.BooleanUtils,92.2,59.96,158,41.82,85.91,112,269
lang,developer,org.apache.commons.lang3.CharEncoding,79.03,0.0,1,47.63,97.99,0,1
lang,developer,org.apache.commons.lang3.CharRange,100.0,0.0,1,81.04,58.02,1,1
lang,developer,org.apache.commons.lang3.CharSequenceUtils,88.44,100.0,155,45.85,53.13,55,120
lang,developer,org.apache.commons.lang3.CharSet,100.0,91.17,3,60.26,58.83,2,3
lang,developer,org.apache.commons.lang3.CharSetUtils,100.0,81.43,18,57.45,84.01,9,15
lang,developer,org.apache.commons.lang3.CharUtils,95.26,96.29,7,43.8,59.88,2,5
lang,developer,org.apache.commons.lang3.ClassPathUtils,44.49,10.17,30,9.91,69.59,3,33
lang,developer,org.apache.commons.lang3.ClassUtils,100.0,100.0,20,69.53,64.97,28,40
lang,developer,org.apache.commons.lang3.Conversion,93.51,84.09,39,32.92,68.32,16,49
lang,developer,org.apache.commons.lang3.EnumUtils,82.1,0.0,11,83.72,88.44,9,11
lang,developer,org.apache.commons.lang3.JavaVersion,100.0,89.26,2,62.58,68.33,2,3
lang,developer,org.apache.commons.lang3.LocaleUtils,87.47,81.02,19,56.67,93.44,11,20
lang,developer,org.apache.commons.lang3.NotImplementedException,100.0,80.91,3,77.64,91.57,2,2
lang,developer,org.apache.commons.lang3.ObjectUtils,97.47,94.89,24,48.5,73.94,16,33
lang,developer,org.apache.commons.lang3.RandomStringUtils,100.0,0.0,18,35.51,83.8,5,15
lang,developer,org.apache.commons.lang3.RandomUtils,100.0,0.0,1,62.36,83.27,1,1
lang,developer,org.apache.commons.lang3.Range,100.0,76.43,3,60.27,59.03,2,3
lang,developer,org.apache.commons.lang3.RegExUtils,88.09,57.95,5,63.94,100.0,3,4
lang,developer,org.apache.commons.lang3.SerializationException,100.0,91.07,4,71.8,80.5,4,5
lang,developer,org.apache.commons.lang3.SerializationUtils,100.0,0.0,2,61.9,83.3,1,1
lang,developer,org.apache.commons.lang3.StringEscapeUtils,100.0,86.98,27,75.64,75.29,28,37
lang,developer,org.apache.commons.lang3.StringUtils,100.0,87.42,9,61.88,77.16,8,13
lang,developer,org.apache.commons.lang3.SystemProperties,100.0,98.81,8,41.37,74.49,5,12
lang,developer,org.apache.commons.lang3.SystemUtils,100.0,97.52,7,72.68,73.12,9,12
lang,developer,org.apache.commons.lang3.ThreadUtils,78.61,79.08,44,63.71,93.41,34,53
lang,developer,org.apache.commons.lang3.Validate,100.0,100.0,6,51.84,67.13,5,9
lang,developer,org.apache.commons.lang3.AnnotationUtils,74.32,36.68,55,21.87,93.08,18,81
lang,developer,org.apache.commons.lang3.ArchUtils,89.26,82.43,16,69.91,67.0,8,12
lang,developer,org.apache.commons.lang3.BitField,100.0,97.76,2,77.97,94.86,2,3
lang,developer,org.apache.commons.lang3.CharSequenceUtils.IndexOfPredicate,100.0,72.95,26,31.5,100.0,7,23
lang,developer,org.apache.commons.lang3.builder.Builder,100.0,80.8,31,42.52,71.6,17,39
lang,developer,org.apache.commons.lang3.builder.CompareToBuilder,92.29,66.01,8,57.26,73.35,8,14
lang,developer,org.apache.commons.lang3.builder.Diff,85.51,65.74,2,64.74,66.52,1,2
lang,developer,org.apache.commons.lang3.builder.DiffBuilder,96.6,63.76,13,43.51,88.97,10,22
lang,developer,org.apache.commons.lang3.builder.DiffResult,99.06,0.0,5,46.94,80.89,2,5
lang,developer,org.apache.commons.lang3.builder.EqualsBuilder,100.0,0.0,3,57.85,88.72,1,1
lang,developer,org.apache.commons.lang3.builder.HashCodeBuilder,100.0,74.56,17,45.46,79.58,11,25
lang,developer,org.apache.commons.lang3.builder.IDKey,100.0,88.13,26,71.94,80.65,26,36
lang,developer,org.apache.commons.lang3.builder.MultilineRecursiveToStringStyle,92.06,77.0,4,69.51,69.11,1,2
lang,developer,org.apache.commons.lang3.builder.RecursiveToStringStyle,89.03,89.31,10,42.53,68.5,7,16
lang,developer,org.apache.commons.lang3.builder.ReflectionDiffBuilder,100.0,100.0,13,68.31,66.47,5,7
lang,developer,org.apache.commons.lang3.builder.ReflectionToStringBuilder,98.03,0.0,42,32.79,70.31,8,24
lang,developer,org.apache.commons.lang3.builder.StandardToStringStyle,100.0,100.0,9,47.69,88.42,2,5
lang,developer,org.apache.commons.lang3.builder.ToStringBuilder,92.58,68.13,35,67.51,79.75,31,46
lang,developer,org.apache.commons.lang3.builder.ToStringExclude,99.15,88.16,67,32.13,83.51,19,59
lang,developer,org.apache.commons.lang3.builder.ToStringStyle,100.0,91.58,2,67.05,73.94,2,3
lang,developer,org.apache.commons.lang3.builder.ToStringSummary,100.0,84.86,6,82.32,94.26,6,7
lang,developer,org.apache.commons.lang3.concurrent.BasicThreadFactory,100.0,100.0,9,80.44,61.68,6,8
lang,developer,org.apache.commons.lang3.concurrent.BackgroundInitializer,86.98,77.66,9,49.36,64.12,7,14
lang,developer,org.apache.commons.lang3.concurrent.CallableBackgroundInitializer,99.81,68.36,2,68.71,87.53,1,2
lang,developer,org.apache.commons.lang3.concurrent.ConcurrentException,100.0,100.0,8,70.14,79.26,9,13
lang,developer,org.apache.commons.lang3.concurrent.ConcurrentInitializer,100.0,98.54,2,68.93,73.38,1,2
lang,developer,org.apache.commons.lang3.concurrent.ConcurrentRuntimeException,99.51,76.2,4,67.49,90.72,4,6
lang,developer,org.apache.commons.lang3.concurrent.ConstantInitializer,100.0,100.0,2,73.81,76.83,2,3
lang,developer,org.apache.commons.lang3.concurrent.EventCountCircuitBreaker,79.57,41.74,32,69.35,71.65,30,43
lang,developer,org.apache.commons.lang3.concurrent.LazyInitializer,100.0,81.51,2,61.15,72.95,2,3
lang,developer,org.apache.commons.lang3.concurrent.Memoizer,100.0,82.96,2,73.5,66.85,1,1
lang,developer,org.apache.commons.lang3.concurrent.MultiBackgroundInitializer,78.33,56.18,13,68.33,65.18,6,9
lang,developer,org.apache.commons.lang3.concurrent.TimedSemaphore,100.0,97.01,7,45.03,79.6,5,11
lang,developer,org.apache.commons.lang3.concurrent.ThresholdCircuitBreaker,100.0,81.39,19,60.86,76.31,15,24
lang,developer,org.apache.commons.lang3.event.EventListenerSupport,100.0,94.06,43,57.08,70.22,15,27
lang,developer,org.apache.commons.lang3.event.EventUtils,98.84,77.76,33,59.69,71.89,29,49
lang,developer,org.apache.commons.lang3.exception.CloneFailedException,100.0,82.51,14,50.84,75.59,6,11
lang,developer,org.apache.commons.lang3.exception.ContextedException,100.0,100.0,2,66.73,99.87,1,2
lang,developer,org.apache.commons.lang3.exception.ContextedRuntimeException,100.0,81.22,8,49.97,92.52,7,15
lang,developer,org.apache.commons.lang3.exception.DefaultExceptionContext,100.0,82.92,2,57.89,82.07,2,3
lang,developer,org.apache.commons.lang3.exception.ExceptionContext,98.11,92.55,3,49.75,66.77,1,3
lang,developer,org.apache.commons.lang3.exception.ExceptionUtils,98.92,82.68,11,53.53,84.48,10,18
lang,developer,org.apache.commons.lang3.function.Failable,100.0,92.58,2,47.14,79.53,0,1
lang,developer,org.apache.commons.lang3.function.FailableBiConsumer,88.61,95.72,6,66.3,56.24,5,7
lang,developer,org.apache.commons.lang3.function.FailableBiFunction,100.0,0.0,4,63.61,71.55,1,2
lang,developer,org.apache.commons.lang3.function.FailableCallable,100.0,93.55,44,55.4,97.46,30,54
lang,developer,org.apache.commons.lang3.function.FailableConsumer,80.95,58.76,5,58.32,68.35,4,7
lang,developer,org.apache.commons.lang3.function.FailableFunction,81.65,0.0,28,28.59,81.17,4,13
lang,developer,org.apache.commons.lang3.function.FailablePredicate,100.0,100.0,4,54.88,77.4,1,2
lang,developer,org.apache.commons.lang3.math.Fraction,100.0,75.42,8,58.05,81.72,6,10
lang,developer,org.apache.commons.lang3.math.IEEE754rUtils,100.0,0.0,15,33.77,85.85,2,6
lang,developer,org.apache.commons.lang3.math.NumberUtils,96.96,87.3,8,85.02,71.75,3,4
lang,developer,org.apache.commons.lang3.mutable.Mutable,100.0,100.0,2,51.83,100.0,1,2
lang,developer,org.apache.commons.lang3.mutable.MutableBoolean,100.0,100.0,15,54.71,57.87,11,20
lang,developer,org.apache.commons.lang3.mutable.MutableByte,100.0,0.0,1,77.23,85.92,1,1
lang,developer,org.apache.commons.lang3.mutable.MutableDouble,100.0,97.88,41,41.28,85.6,24,58
lang,developer,org.apache.commons.lang3.mutable.MutableFloat,100.0,100.0,18,48.42,89.67,9,18
lang,developer,org.apache.commons.lang3.mutable.MutableInt,100.0,75.8,2,53.11,79.24,1,1
lang,developer,org.apache.commons.lang3.mutable.MutableLong,100.0,93.24,18,62.02,79.16,9,15
lang,developer,org.apache.commons.lang3.mutable.MutableObject,100.0,90.58,8,52.67,100.0,4,7
lang,developer,org.apache.commons.lang3.mutable.MutableShort,100.0,81.93,3,31.85,73.89,1,3
lang,developer,org.apache.commons.lang3.reflect.ConstructorUtils,100.0,80.7,15,67.73,73.12,14,21
lang,developer,org.apache.commons.lang3.reflect.FieldUtils,100.0,98.81,26,59.38,74.95,26,43
lang,developer,org.apache.commons.lang3.reflect.InheritanceUtils,100.0,89.55,27,46.21,86.65,21,46
lang,developer,org.apache.commons.lang3.reflect.MemberUtils,100.0,0.0,7,65.77,82.0,5,8
lang,developer,org.apache.commons.lang3.reflect.MethodUtils,100.0,96.52,4,59.29,69.48,2,4
lang,developer,org.apache.commons.lang3.reflect.TypeLiteral,100.0,73.61,2,72.83,70.63,1,2
lang,developer,org.apache.commons.lang3.reflect.TypeUtils,98.77,72.12,17,75.79,71.98,18,24
lang,developer,org.apache.commons.lang3.stream.Streams,75.27,59.76,42,47.87,72.57,21,43
lang,developer,org.apache.commons.lang3.stream.Streams.FailableStream,100.0,95.87,10,58.1,87.95,3,6
lang,developer,org.apache.commons.lang3.text.StrBuilder,100.0,83.29,12,53.78,72.03,6,12
lang,developer,org.apache.commons.lang3.text.StrLookup,97.38,0.0,4,71.48,73.16,1,1
lang,developer,org.apache.commons.lang3.text.StrMatcher,100.0,0.0,4,56.54,99.41,2,4
lang,developer,org.apache.commons.lang3.text.StrSubstitutor,100.0,100.0,5,65.91,95.62,3,5
lang,developer,org.apache.commons.lang3.text.StrTokenizer,100.0,100.0,4,45.14,71.67,2,4
lang,developer,org.apache.commons.lang3.time.DateFormatUtils,100.0,73.44,5,75.2,76.66,2,2
lang,developer,org.apache.commons.lang3.time.DateUtils,79.05,77.69,66,31.93,86.72,20,62
lang,developer,org.apache.commons.lang3.time.DurationFormatUtils,100.0,100.0,17,68.89,71.44,12,18
lang,developer,org.apache.commons.lang3.time.FastDateFormat,100.0,97.13,3,51.72,99.78,1,2
lang,developer,org.apache.commons.lang3.time.FastDateParser,100.0,99.67,3,53.39,95.41,2,4
lang,developer,org.apache.commons.lang3.time.FastDatePrinter,100.0,75.95,53,67.65,94.81,58,86
lang,developer,org.apache.commons.lang3.time.StopWatch,97.52,77.72,2,57.74,60.84,1,2
lang,developer,org.apache.commons.lang3.tuple.ImmutablePair,100.0,0.0,1,59.32,82.33,1,1
lang,developer,org.apache.commons.lang3.tuple.ImmutableTriple,100.0,83.54,2,54.73,69.28,2,3
lang,developer,org.apache.commons.lang3.tuple.MutablePair,100.0,100.0,29,50.62,84.74,24,47
lang,developer,org.apache.commons.lang3.tuple.MutableTriple,100.0,87.55,2,72.14,63.57,1,2
lang,developer,org.apache.commons.lang3.tuple.Pair,100.0,100.0,2,76.03,81.24,2,3
lang,developer,org.apache.commons.lang3.tuple.Triple,100.0,100.0,5,74.16,87.79,3,4
lang,opus-4.5,org.apache.commons.lang3.ArrayUtils,79.79,67.77,54,52.41,68.96,35,66
lang,opus-4.5,org.apache.commons.lang3.BooleanUtils,39.62,29.68,77,59.89,100.0,32,53
lang,opus-4.5,org.apache.commons.lang3.CharEncoding,97.08,99.71,4,30.65,61.01,1,3
lang,opus-4.5,org.apache.commons.lang3.CharRange,98.05,95.81,2,84.76,64.02,2,2
lang,opus-4.5,org.apache.commons.lang3.CharSequenceUtils,83.27,80.54,78,51.04,86.81,45,88
lang,opus-4.5,org.apache.commons.lang3.CharSet,72.84,81.82,4,66.24,57.69,1,2
lang,opus-4.5,org.apache.commons.lang3.CharSetUtils,94.09,91.87,24,60.89,90.87,12,19
lang,opus-4.5,org.apache.commons.lang3.CharUtils,98.05,0.0,6,74.29,82.68,2,3
lang,opus-4.5,org.apache.commons.lang3.ClassPathUtils,67.64,64.56,40,36.94,77.09,20,54
lang,opus-4.5,org.apache.commons.lang3.ClassUtils,52.08,47.5,11,39.12,59.95,7,18
lang,opus-4.5,org.apache.commons.lang3.Conversion,88.62,100.0,39,22.14,74.66,10,45
lang,opus-4.5,org.apache.commons.lang3.EnumUtils,87.71,63.51,20,68.61,82.06,22,32
lang,opus-4.5,org.apache.commons.lang3.JavaVersion,98.05,0.0,1,66.41,90.54,1,1
lang,opus-4.5,org.apache.commons.lang3.LocaleUtils,91.34,0.0,14,54.3,83.18,7,12
lang,opus-4.5,org.apache.commons.lang3.NotImplementedException,52.82,61.89,3,50.14,54.05,1,2
lang,opus-4.5,org.apache.commons.lang3.ObjectUtils,78.63,0.0,12,33.55,90.49,2,5
