class_name,line_coverage_pct,branch_coverage_pct,cyclomatic_complexity,pit_line_coverage_pct,mutation_coverage_pct,test_strength_pct,mutants_total,mutants_killed,mutants_survived,mutants_no_coverage
AbstractHelpFormatter,97.3,100.0,37,98.0,94.0,98.0,50,47,3,0
AbstractHelpFormatter.Builder,100.0,50.0,12,0.0,0.0,0.0,0,0,0,0
AlreadySelectedException,100.0,0.0,5,100.0,100.0,100.0,2,2,0,0
AmbiguousOptionException,100.0,100.0,5,100.0,25.0,25.0,4,1,3,0
BasicParser,100.0,0.0,2,100.0,100.0,100.0,1,1,0,0
CommandLine,98.53,100.0,116,99.0,97.81,98.0,137,134,3,0
CommandLine.Builder,100.0,100.0,10,0.0,0.0,0.0,0,0,0,0
Converter,100.0,100.0,7,0.0,0.0,0.0,0,0,0,0
DefaultParser,98.23,92.16,135,99.0,94.18,95.0,189,178,11,0
DefaultParser.Builder,100.0,0.0,6,0.0,0.0,0.0,0,0,0,0
DefaultParser.NonOptionAction,100.0,0.0,1,0.0,0.0,0.0,0,0,0,0
DeprecatedAttributes,100.0,100.0,12,100.0,100.0,100.0,13,13,0,0
DeprecatedAttributes.Builder,100.0,0.0,5,0.0,0.0,0.0,0,0,0,0
FilterHelpAppendable,77.78,0.0,4,78.0,0.0,0.0,3,0,3,0
GnuParser,100.0,100.0,13,100.0,100.0,100.0,16,16,0,0
HelpAppendable,100.0,0.0,2,100.0,100.0,100.0,1,1,0,0
HelpFormatter,97.97,93.38,118,100.0,90.0,90.0,10,9,1,0
HelpFormatter.Builder,100.0,100.0,9,0.0,0.0,0.0,0,0,0,0
HelpFormatter.OptionComparator,100.0,0.0,1,0.0,0.0,0.0,0,0,0,0
MissingArgumentException,100.0,0.0,3,100.0,100.0,100.0,1,1,0,0
MissingOptionException,100.0,100.0,5,100.0,100.0,100.0,4,4,0,0
Option,97.95,95.0,94,98.0,93.22,93.0,118,110,8,0
Option.Builder,100.0,100.0,27,0.0,0.0,0.0,0,0,0,0
OptionBuilder,95.24,100.0,23,95.0,38.71,41.0,31,12,19,0
OptionFormatter,100.0,96.67,33,99.0,100.0,100.0,43,43,0,0
OptionFormatter.Builder,97.67,0.0,14,0.0,0.0,0.0,0,0,0,0
OptionGroup,100.0,93.75,18,100.0,100.0,100.0,16,16,0,0
OptionValidator,95.65,100.0,18,96.0,94.74,95.0,19,18,1,0
Options,94.37,100.0,32,94.0,89.19,94.0,37,33,4,0
ParseException,100.0,100.0,5,100.0,100.0,100.0,4,4,0,0
Parser,98.02,95.83,50,98.0,98.33,98.0,60,59,1,0
PatternOptionBuilder,92.98,97.73,34,93.0,96.77,100.0,31,30,1,0
PosixParser,100.0,100.0,33,100.0,97.67,98.0,43,42,1,0
TableDefinition,100.0,0.0,1,100.0,100.0,100.0,5,5,0,0
TableDefinition.new TableDefinition() {...},100.0,0.0,5,0.0,0.0,0.0,0,0,0,0
TextHelpAppendable,100.0,100.0,66,100.0,86.46,86.0,96,83,13,0
TextStyle,100.0,100.0,21,100.0,85.37,85.0,41,35,6,0
TextStyle.Alignment,100.0,0.0,1,0.0,0.0,0.0,0,0,0,0
TextStyle.Builder,100.0,0.0,14,0.0,0.0,0.0,0,0,0,0
TypeHandler,95.24,100.0,20,95.0,100.0,100.0,16,16,0,0
UnrecognizedOptionException,100.0,0.0,3,100.0,100.0,100.0,1,1,0,0
Util,93.75,83.33,17,91.0,96.43,96.0,28,27,1,0
