class_name,line_coverage_pct,branch_coverage_pct,cyclomatic_complexity,pit_line_coverage_pct,mutation_coverage_pct,test_strength_pct,mutants_total,mutants_killed,mutants_survived,mutants_no_coverage
AbstractHelpFormatter,0.0,0.0,37,0.0,0.0,100.0,50,0,50,0
AbstractHelpFormatter.Builder,0.0,0.0,12,0.0,0.0,0.0,0,0,0,0
AlreadySelectedException,81.82,0.0,5,82.0,100.0,100.0,2,2,0,0
AmbiguousOptionException,100.0,100.0,5,100.0,75.0,75.0,4,3,1,0
BasicParser,100.0,0.0,2,100.0,100.0,100.0,1,1,0,0
CommandLine,41.91,38.24,116,45.0,35.77,88.0,137,49,88,0
CommandLine.Builder,75.0,25.0,10,0.0,0.0,0.0,0,0,0,0
Converter,100.0,100.0,7,0.0,0.0,0.0,0,0,0,0
DefaultParser,35.84,22.55,135,35.0,24.87,72.0,189,47,142,0
DefaultParser.Builder,0.0,0.0,6,0.0,0.0,0.0,0,0,0,0
DefaultParser.NonOptionAction,100.0,0.0,1,0.0,0.0,0.0,0,0,0,0
DeprecatedAttributes,100.0,50.0,12,100.0,92.31,92.0,13,12,1,0
DeprecatedAttributes.Builder,100.0,0.0,5,0.0,0.0,0.0,0,0,0,0
FilterHelpAppendable,0.0,0.0,4,0.0,0.0,100.0,3,0,3,0
GnuParser,0.0,0.0,13,0.0,0.0,100.0,16,0,16,0
HelpAppendable,0.0,0.0,2,0.0,0.0,100.0,1,0,1,0
HelpFormatter,44.72,25.0,118,0.0,0.0,100.0,10,0,10,0
HelpFormatter.Builder,0.0,0.0,9,0.0,0.0,0.0,0,0,0,0
HelpFormatter.OptionComparator,0.0,0.0,1,0.0,0.0,0.0,0,0,0,0
MissingArgumentException,100.0,0.0,3,100.0,100.0,100.0,1,1,0,0
MissingOptionException,100.0,50.0,5,100.0,100.0,100.0,4,4,0,0
Option,67.81,50.0,94,70.0,54.24,81.0,118,64,54,0
Option.Builder,76.74,50.0,27,0.0,0.0,0.0,0,0,0,0
OptionBuilder,58.73,25.0,23,61.0,25.81,44.0,31,8,23,0
OptionFormatter,0.0,0.0,33,0.0,0.0,100.0,43,0,43,0
OptionFormatter.Builder,0.0,0.0,14,0.0,0.0,0.0,0,0,0,0
OptionGroup,86.49,68.75,18,86.0,68.75,73.0,16,11,5,0
OptionValidator,95.65,100.0,18,96.0,89.47,89.0,19,17,2,0
Options,63.38,70.0,32,65.0,56.76,75.0,37,21,16,0
ParseException,100.0,100.0,5,100.0,100.0,100.0,4,4,0,0
Parser,55.45,31.94,50,55.0,38.33,72.0,60,23,37,0
PatternOptionBuilder,80.7,65.91,34,81.0,74.19,96.0,31,23,8,0
PosixParser,47.06,30.77,33,47.0,37.21,73.0,43,16,27,0
TableDefinition,100.0,0.0,1,100.0,100.0,100.0,5,5,0,0
TableDefinition.new TableDefinition() {...},100.0,0.0,5,0.0,0.0,0.0,0,0,0,0
TextHelpAppendable,12.2,14.1,66,12.0,10.42,56.0,96,10,86,0
TextStyle,23.26,0.0,21,33.0,12.2,83.0,41,5,36,0
TextStyle.Alignment,100.0,0.0,1,0.0,0.0,0.0,0,0,0,0
TextStyle.Builder,46.67,0.0,14,0.0,0.0,0.0,0,0,0,0
TypeHandler,76.19,0.0,20,76.0,43.75,100.0,16,7,9,0
UnrecognizedOptionException,66.67,0.0,3,67.0,100.0,100.0,1,1,0,0
Util,87.5,70.83,17,4.0,10.71,100.0,28,3,25,0
