class_name,line_coverage_pct,branch_coverage_pct,cyclomatic_complexity,pit_line_coverage_pct,mutation_coverage_pct,test_strength_pct,mutants_total,mutants_killed,mutants_survived,mutants_no_coverage
AbstractHelpFormatter,87.84,88.46,37,88.0,64.0,74.0,50,32,18,0
AbstractHelpFormatter.Builder,89.47,75.0,12,0.0,0.0,0.0,0,0,0,0
AlreadySelectedException,100.0,0.0,5,100.0,100.0,100.0,2,2,0,0
AmbiguousOptionException,100.0,100.0,5,100.0,75.0,75.0,4,3,1,0
BasicParser,100.0,0.0,2,100.0,100.0,100.0,1,1,0,0
CommandLine,68.38,58.82,116,72.0,66.42,95.0,137,91,46,0
CommandLine.Builder,100.0,100.0,10,0.0,0.0,0.0,0,0,0,0
Converter,100.0,100.0,7,0.0,0.0,0.0,0,0,0,0
DefaultParser,92.04,73.04,135,93.0,77.25,87.0,189,146,43,0
DefaultParser.Builder,83.33,0.0,6,0.0,0.0,0.0,0,0,0,0
DefaultParser.NonOptionAction,100.0,0.0,1,0.0,0.0,0.0,0,0,0,0
DeprecatedAttributes,100.0,100.0,12,100.0,100.0,100.0,13,13,0,0
DeprecatedAttributes.Builder,100.0,0.0,5,0.0,0.0,0.0,0,0,0,0
FilterHelpAppendable,100.0,0.0,4,100.0,0.0,0.0,3,0,3,0
GnuParser,100.0,95.45,13,100.0,93.75,94.0,16,15,1,0
HelpAppendable,100.0,0.0,2,100.0,100.0,100.0,1,1,0,0
HelpFormatter,88.21,67.65,118,100.0,80.0,80.0,10,8,2,0
HelpFormatter.Builder,100.0,50.0,9,0.0,0.0,0.0,0,0,0,0
HelpFormatter.OptionComparator,100.0,0.0,1,0.0,0.0,0.0,0,0,0,0
MissingArgumentException,100.0,0.0,3,100.0,100.0,100.0,1,1,0,0
MissingOptionException,100.0,100.0,5,100.0,100.0,100.0,4,4,0,0
Option,84.25,73.75,94,87.0,80.51,86.0,118,95,23,0
Option.Builder,97.67,87.5,27,0.0,0.0,0.0,0,0,0,0
OptionBuilder,100.0,75.0,23,100.0,41.94,42.0,31,13,18,0
OptionFormatter,100.0,83.33,33,95.0,86.05,90.0,43,37,6,0
OptionFormatter.Builder,88.37,0.0,14,0.0,0.0,0.0,0,0,0,0
OptionGroup,100.0,100.0,18,100.0,93.75,94.0,16,15,1,0
OptionValidator,86.96,75.0,18,87.0,57.89,65.0,19,11,8,0
Options,100.0,100.0,32,100.0,78.38,78.0,37,29,8,0
ParseException,100.0,100.0,5,100.0,100.0,100.0,4,4,0,0
Parser,70.3,54.17,50,70.0,61.67,86.0,60,37,23,0
PatternOptionBuilder,94.74,100.0,34,95.0,96.77,97.0,31,30,1,0
PosixParser,85.29,78.85,33,85.0,55.81,62.0,43,24,19,0
TableDefinition,100.0,0.0,1,100.0,100.0,100.0,5,5,0,0
TableDefinition.new TableDefinition() {...},100.0,0.0,5,0.0,0.0,0.0,0,0,0,0
TextHelpAppendable,90.85,80.77,66,91.0,57.29,69.0,96,55,41,0
TextStyle,97.67,75.0,21,99.0,82.93,85.0,41,34,7,0
TextStyle.Alignment,100.0,0.0,1,0.0,0.0,0.0,0,0,0,0
TextStyle.Builder,100.0,0.0,14,0.0,0.0,0.0,0,0,0,0
TypeHandler,90.48,100.0,20,93.0,81.25,100.0,16,13,3,0
UnrecognizedOptionException,100.0,0.0,3,100.0,100.0,100.0,1,1,0,0
Util,81.25,66.67,17,78.0,60.71,68.0,28,17,11,0
