class_name,line_coverage_pct,branch_coverage_pct,cyclomatic_complexity,pit_line_coverage_pct,mutation_coverage_pct,test_strength_pct,mutants_total,mutants_killed,mutants_survived,mutants_no_coverage
AbstractHelpFormatter,47.3,38.46,37,52.0,28.0,58.0,50,14,36,0
AbstractHelpFormatter.Builder,68.42,25.0,12,0.0,0.0,0.0,0,0,0,0
AlreadySelectedException,100.0,0.0,5,100.0,100.0,100.0,2,2,0,0
AmbiguousOptionException,100.0,100.0,5,100.0,75.0,75.0,4,3,1,0
BasicParser,100.0,0.0,2,100.0,100.0,100.0,1,1,0,0
CommandLine,63.24,55.88,116,66.0,63.5,96.0,137,87,50,0
CommandLine.Builder,93.75,100.0,10,0.0,0.0,0.0,0,0,0,0
Converter,100.0,0.0,7,0.0,0.0,0.0,0,0,0,0
DefaultParser,71.24,50.0,135,72.0,54.5,79.0,189,103,86,0
DefaultParser.Builder,75.0,0.0,6,0.0,0.0,0.0,0,0,0,0
DefaultParser.NonOptionAction,100.0,0.0,1,0.0,0.0,0.0,0,0,0,0
DeprecatedAttributes,100.0,100.0,12,100.0,100.0,100.0,13,13,0,0
DeprecatedAttributes.Builder,100.0,0.0,5,0.0,0.0,0.0,0,0,0,0
FilterHelpAppendable,100.0,0.0,4,100.0,0.0,0.0,3,0,3,0
GnuParser,96.77,90.91,13,97.0,93.75,94.0,16,15,1,0
HelpAppendable,100.0,0.0,2,100.0,0.0,0.0,1,0,1,0
HelpFormatter,63.41,37.5,118,95.0,70.0,78.0,10,7,3,0
HelpFormatter.Builder,61.54,0.0,9,0.0,0.0,0.0,0,0,0,0
HelpFormatter.OptionComparator,100.0,0.0,1,0.0,0.0,0.0,0,0,0,0
MissingArgumentException,100.0,0.0,3,100.0,100.0,100.0,1,1,0,0
MissingOptionException,100.0,100.0,5,100.0,75.0,75.0,4,3,1,0
Option,84.25,75.0,94,88.0,83.05,87.0,118,98,20,0
Option.Builder,100.0,87.5,27,0.0,0.0,0.0,0,0,0,0
OptionBuilder,98.41,100.0,23,98.0,38.71,40.0,31,12,19,0
OptionFormatter,74.07,53.33,33,59.0,37.21,57.0,43,16,27,0
OptionFormatter.Builder,39.53,0.0,14,0.0,0.0,0.0,0,0,0,0
OptionGroup,100.0,93.75,18,100.0,87.5,88.0,16,14,2,0
OptionValidator,65.22,45.83,18,65.0,47.37,64.0,19,9,10,0
Options,98.59,95.0,32,99.0,75.68,76.0,37,28,9,0
ParseException,88.89,75.0,5,89.0,100.0,100.0,4,4,0,0
Parser,61.39,43.06,50,61.0,51.67,84.0,60,31,29,0
PatternOptionBuilder,91.23,93.18,34,91.0,87.1,93.0,31,27,4,0
PosixParser,82.35,73.08,33,82.0,58.14,68.0,43,25,18,0
TableDefinition,100.0,0.0,1,100.0,80.0,80.0,5,4,1,0
TableDefinition.new TableDefinition() {...},100.0,0.0,5,0.0,0.0,0.0,0,0,0,0
TextHelpAppendable,81.1,66.67,66,81.0,42.71,57.0,96,41,55,0
TextStyle,81.4,40.0,21,86.0,48.78,63.0,41,20,21,0
TextStyle.Alignment,100.0,0.0,1,0.0,0.0,0.0,0,0,0,0
TextStyle.Builder,93.33,0.0,14,0.0,0.0,0.0,0,0,0,0
TypeHandler,80.95,0.0,20,81.0,56.25,100.0,16,9,7,0
UnrecognizedOptionException,100.0,0.0,3,100.0,100.0,100.0,1,1,0,0
Util,81.25,54.17,17,74.0,50.0,58.0,28,14,14,0
