GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons BCEL,org.apache.bcel.verifier.statics,Pass1Verifier,53,43,4,6,7,14,4,5,1,3
Apache Commons BCEL,org.apache.bcel.verifier.statics,Pass3aVerifier.InstOperandConstraintVisitor,1131,1078,84,148,97,254,81,74,2,37
Apache Commons BCEL,org.apache.bcel.verifier.statics,StringRepresentation,222,166,0,2,70,46,33,22,33,21
Apache Commons BCEL,org.apache.bcel.verifier.statics,IntList,0,21,0,0,0,6,0,3,0,3
Apache Commons BCEL,org.apache.bcel.verifier.statics,DOUBLE_Upper,0,12,0,0,0,4,0,3,0,3
Apache Commons BCEL,org.apache.bcel.verifier.statics,Pass2Verifier.FAMRAV_Visitor,243,192,13,13,17,44,12,5,0,4
Apache Commons BCEL,org.apache.bcel.verifier.statics,LocalVariablesInfo,22,60,6,6,4,11,5,5,1,3
Apache Commons BCEL,org.apache.bcel.verifier.statics,Pass2Verifier.CPESSC_Visitor,1392,1650,104,238,116,323,102,101,1,31
Apache Commons BCEL,org.apache.bcel.verifier.statics,LONG_Upper,0,12,0,0,0,4,0,3,0,3
Apache Commons BCEL,org.apache.bcel.verifier.statics,LocalVariableInfo,60,75,6,4,4,18,4,8,0,7
Apache Commons BCEL,org.apache.bcel.verifier.statics,Pass2Verifier.InnerClassDetector,0,52,1,3,0,12,1,4,0,3
Apache Commons BCEL,org.apache.bcel.verifier.statics,Pass2Verifier,215,263,18,32,30,72,15,25,1,14
Apache Commons BCEL,org.apache.bcel.verifier.statics,Pass3aVerifier,406,358,25,45,41,87,22,22,0,9
Apache Commons BCEL,org.apache.bcel.generic,NOP,0,9,0,0,0,4,0,2,0,2
Apache Commons BCEL,org.apache.bcel.generic,ALOAD,0,18,0,0,0,7,0,3,0,3
Apache Commons BCEL,org.apache.bcel.generic,SimpleElementValueGen,170,241,21,13,35,61,20,22,3,14
Apache Commons BCEL,org.apache.bcel.generic,DNEG,0,20,0,0,0,8,0,2,0,2
Apache Commons BCEL,org.apache.bcel.generic,IF_ACMPNE,11,16,0,0,3,7,2,2,2,2
Apache Commons BCEL,org.apache.bcel.generic,FADD,0,20,0,0,0,8,0,2,0,2
Apache Commons BCEL,org.apache.bcel.generic,IFEQ,6,21,0,0,1,9,1,3,1,3
Apache Commons BCEL,org.apache.bcel.generic,Instruction,84,666,17,107,23,230,18,116,5,19
Apache Commons BCEL,org.apache.bcel.generic,ConversionInstruction,34,5,8,0,12,2,9,1,2,1
Apache Commons BCEL,org.apache.bcel.generic,INVOKEINTERFACE,61,68,2,0,8,24,4,6,3,6
Apache Commons BCEL,org.apache.bcel.generic,MethodGen.BranchTarget,0,9,0,0,0,4,0,1,0,1
Apache Commons BCEL,org.apache.bcel.generic,ClassGen.new BCELComparator() {...},14,14,5,5,1,2,4,4,1,2
Apache Commons BCEL,org.apache.bcel.generic,MethodGen.BranchStack,0,61,0,6,0,14,0,8,0,5
Apache Commons BCEL,org.apache.bcel.generic,LRETURN,0,20,0,0,0,8,0,2,0,2
Apache Commons BCEL,org.apache.bcel.generic,IFGE,11,16,0,0,3,7,2,2,2,2
Apache Commons BCEL,org.apache.bcel.generic,IMUL,0,20,0,0,0,8,0,2,0,2
Apache Commons BCEL,org.apache.bcel.generic,StackInstruction,5,5,0,0,3,2,2,1,2,1
Apache Commons BCEL,org.apache.bcel.generic,ICONST,18,40,2,2,4,12,4,3,2,3
Apache Commons BCEL,org.apache.bcel.generic,IFGT,11,16,0,0,3,7,2,2,2,2
Apache Commons BCEL,org.apache.bcel.generic,FCONST,18,55,1,5,4,16,3,5,2,3
Apache Commons BCEL,org.apache.bcel.generic,IINC,43,135,9,13,4,44,9,13,2,9
Apache Commons BCEL,org.apache.bcel.generic,MONITORENTER,7,15,0,0,1,6,1,2,1,2
Apache Commons BCEL,org.apache.bcel.generic,INVOKESTATIC,13,45,0,0,1,17,1,4,1,4
Apache Commons BCEL,org.apache.bcel.generic,DUP_X1,0,11,0,0,0,5,0,2,0,2
Apache Commons BCEL,org.apache.bcel.generic,DUP_X2,0,11,0,0,0,5,0,2,0,2
