GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons BCEL,org.apache.bcel.verifier.statics,Pass1Verifier,96,0,10,0,21,0,9,0,4,0
Apache Commons BCEL,org.apache.bcel.verifier.statics,Pass3aVerifier.InstOperandConstraintVisitor,2209,0,232,0,351,0,155,0,39,0
Apache Commons BCEL,org.apache.bcel.verifier.statics,StringRepresentation,388,0,2,0,116,0,55,0,54,0
Apache Commons BCEL,org.apache.bcel.verifier.statics,IntList,21,0,0,0,6,0,3,0,3,0
Apache Commons BCEL,org.apache.bcel.verifier.statics,DOUBLE_Upper,12,0,0,0,4,0,3,0,3,0
Apache Commons BCEL,org.apache.bcel.verifier.statics,Pass2Verifier.FAMRAV_Visitor,435,0,26,0,61,0,17,0,4,0
Apache Commons BCEL,org.apache.bcel.verifier.statics,LocalVariablesInfo,82,0,12,0,15,0,10,0,4,0
Apache Commons BCEL,org.apache.bcel.verifier.statics,Pass2Verifier.CPESSC_Visitor,3042,0,342,0,439,0,203,0,32,0
Apache Commons BCEL,org.apache.bcel.verifier.statics,LONG_Upper,12,0,0,0,4,0,3,0,3,0
Apache Commons BCEL,org.apache.bcel.verifier.statics,LocalVariableInfo,135,0,10,0,22,0,12,0,7,0
Apache Commons BCEL,org.apache.bcel.verifier.statics,Pass2Verifier.InnerClassDetector,52,0,4,0,12,0,5,0,3,0
Apache Commons BCEL,org.apache.bcel.verifier.statics,Pass2Verifier,478,0,50,0,102,0,40,0,15,0
Apache Commons BCEL,org.apache.bcel.verifier.statics,Pass3aVerifier,764,0,70,0,128,0,44,0,9,0
Apache Commons BCEL,org.apache.bcel.generic,NOP,4,5,0,0,2,2,1,1,1,1
Apache Commons BCEL,org.apache.bcel.generic,ALOAD,12,6,0,0,5,2,2,1,2,1
Apache Commons BCEL,org.apache.bcel.generic,SimpleElementValueGen,411,0,34,0,96,0,42,0,17,0
Apache Commons BCEL,org.apache.bcel.generic,DNEG,16,4,0,0,6,2,1,1,1,1
Apache Commons BCEL,org.apache.bcel.generic,IF_ACMPNE,27,0,0,0,10,0,4,0,4,0
Apache Commons BCEL,org.apache.bcel.generic,FADD,16,4,0,0,6,2,1,1,1,1
Apache Commons BCEL,org.apache.bcel.generic,IFEQ,27,0,0,0,10,0,4,0,4,0
Apache Commons BCEL,org.apache.bcel.generic,Instruction,672,78,121,3,224,29,123,11,13,11
Apache Commons BCEL,org.apache.bcel.generic,ConversionInstruction,34,5,8,0,12,2,9,1,2,1
Apache Commons BCEL,org.apache.bcel.generic,INVOKEINTERFACE,129,0,2,0,32,0,10,0,9,0
Apache Commons BCEL,org.apache.bcel.generic,MethodGen.BranchTarget,9,0,0,0,4,0,1,0,1,0
Apache Commons BCEL,org.apache.bcel.generic,ClassGen.new BCELComparator() {...},25,3,10,0,2,1,7,1,2,1
Apache Commons BCEL,org.apache.bcel.generic,MethodGen.BranchStack,42,19,5,1,9,5,6,2,3,2
Apache Commons BCEL,org.apache.bcel.generic,LRETURN,16,4,0,0,6,2,1,1,1,1
Apache Commons BCEL,org.apache.bcel.generic,IFGE,27,0,0,0,10,0,4,0,4,0
Apache Commons BCEL,org.apache.bcel.generic,IMUL,16,4,0,0,6,2,1,1,1,1
Apache Commons BCEL,org.apache.bcel.generic,StackInstruction,5,5,0,0,3,2,2,1,2,1
Apache Commons BCEL,org.apache.bcel.generic,ICONST,38,20,2,2,11,5,6,1,4,1
Apache Commons BCEL,org.apache.bcel.generic,IFGT,27,0,0,0,10,0,4,0,4,0
Apache Commons BCEL,org.apache.bcel.generic,FCONST,38,35,1,5,11,9,5,3,4,1
Apache Commons BCEL,org.apache.bcel.generic,IINC,178,0,22,0,48,0,22,0,11,0
Apache Commons BCEL,org.apache.bcel.generic,MONITORENTER,17,5,0,0,5,2,2,1,2,1
Apache Commons BCEL,org.apache.bcel.generic,INVOKESTATIC,58,0,0,0,18,0,5,0,5,0
Apache Commons BCEL,org.apache.bcel.generic,DUP_X1,7,4,0,0,3,2,1,1,1,1
Apache Commons BCEL,org.apache.bcel.generic,DUP_X2,7,4,0,0,3,2,1,1,1,1
Apache Commons BCEL,org.apache.bcel.generic,LOR,16,4,0,0,6,2,1,1,1,1
Apache Commons BCEL,org.apache.bcel.generic,PUSH,310,0,42,0,69,0,35,0,14,0
Apache Commons BCEL,org.apache.bcel.generic,ReturnaddressType,68,0,10,0,16,0,11,0,6,0
Apache Commons BCEL,org.apache.bcel.generic,FCMPL,15,5,0,0,6,2,2,1,2,1
Apache Commons BCEL,org.apache.bcel.generic,ObjectType,34,86,4,10,10,17,5,13,2,9
Apache Commons BCEL,org.apache.bcel.generic,CALOAD,16,4,0,0,6,2,1,1,1,1
Apache Commons BCEL,org.apache.bcel.generic,ATHROW,20,5,0,0,6,2,2,1,2,1
Apache Commons BCEL,org.apache.bcel.generic,DSUB,16,4,0,0,6,2,1,1,1,1
Apache Commons BCEL,org.apache.bcel.generic,DALOAD,16,4,0,0,6,2,1,1,1,1
Apache Commons BCEL,org.apache.bcel.generic,IFLT,27,0,0,0,10,0,4,0,4,0
Apache Commons BCEL,org.apache.bcel.generic,FCMPG,15,5,0,0,6,2,2,1,2,1
Apache Commons BCEL,org.apache.bcel.generic,Type,432,237,68,12,99,54,54,15,17,11
Apache Commons BCEL,org.apache.bcel.generic,FSTORE,18,0,0,0,7,0,3,0,3,0
Apache Commons BCEL,org.apache.bcel.generic,ArrayElementValueGen,195,0,10,0,40,0,15,0,10,0
Apache Commons BCEL,org.apache.bcel.generic,IFNULL,27,0,0,0,10,0,4,0,4,0
Apache Commons BCEL,org.apache.bcel.generic,FNEG,16,4,0,0,6,2,1,1,1,1
Apache Commons BCEL,org.apache.bcel.generic,BIPUSH,63,0,0,0,20,0,8,0,8,0
Apache Commons BCEL,org.apache.bcel.generic,IF_ICMPNE,27,0,0,0,10,0,4,0,4,0
Apache Commons BCEL,org.apache.bcel.generic,ILOAD,12,6,0,0,5,2,2,1,2,1
Apache Commons BCEL,org.apache.bcel.generic,NameSignatureInstruction,51,0,0,0,13,0,5,0,5,0
Apache Commons BCEL,org.apache.bcel.generic,L2D,16,4,0,0,6,2,1,1,1,1
Apache Commons BCEL,org.apache.bcel.generic,L2F,16,4,0,0,6,2,1,1,1,1
Apache Commons BCEL,org.apache.bcel.generic,IFLE,27,0,0,0,10,0,4,0,4,0
Apache Commons BCEL,org.apache.bcel.generic,NEWARRAY,79,0,0,0,22,0,10,0,10,0
Apache Commons BCEL,org.apache.bcel.generic,L2I,16,4,0,0,6,2,1,1,1,1
Apache Commons BCEL,org.apache.bcel.generic,IXOR,16,4,0,0,6,2,1,1,1,1
Apache Commons BCEL,org.apache.bcel.generic,InstructionComparator,53,3,14,0,11,1,8,1,1,1
Apache Commons BCEL,org.apache.bcel.generic,InvokeInstruction,120,0,8,0,30,0,14,0,10,0
Apache Commons BCEL,org.apache.bcel.generic,IADD,16,4,0,0,6,2,1,1,1,1
Apache Commons BCEL,org.apache.bcel.generic,INSTANCEOF,54,0,4,0,17,0,7,0,5,0
Apache Commons BCEL,org.apache.bcel.generic,IF_ACMPEQ,27,0,0,0,10,0,4,0,4,0
Apache Commons BCEL,org.apache.bcel.generic,ElementValueGen,221,0,22,0,33,0,24,0,5,0
Apache Commons BCEL,org.apache.bcel.generic,SASTORE,16,4,0,0,6,2,1,1,1,1
Apache Commons BCEL,org.apache.bcel.generic,ISHL,16,4,0,0,6,2,1,1,1,1
Apache Commons BCEL,org.apache.bcel.generic,ISTORE,12,6,0,0,5,2,2,1,2,1
Apache Commons BCEL,org.apache.bcel.generic,ISHR,16,4,0,0,6,2,1,1,1,1
Apache Commons BCEL,org.apache.bcel.generic,ReturnInstruction,42,5,7,0,13,2,10,1,4,1
Apache Commons BCEL,org.apache.bcel.generic,IDIV,26,4,0,0,8,2,2,1,2,1
Apache Commons BCEL,org.apache.bcel.generic,FALOAD,16,4,0,0,6,2,1,1,1,1
Apache Commons BCEL,org.apache.bcel.generic,IFNE,27,0,0,0,10,0,4,0,4,0
Apache Commons BCEL,org.apache.bcel.generic,IREM,26,4,0,0,8,2,2,1,2,1
Apache Commons BCEL,org.apache.bcel.generic,GETSTATIC,49,0,0,0,16,0,5,0,5,0
Apache Commons BCEL,org.apache.bcel.generic,IOR,16,4,0,0,6,2,1,1,1,1
