GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons BCEL,org.apache.bcel.verifier.statics,Pass1Verifier,51,45,4,6,6,15,3,6,0,4
Apache Commons BCEL,org.apache.bcel.verifier.statics,Pass3aVerifier.InstOperandConstraintVisitor,1903,306,200,32,284,67,143,12,27,12
Apache Commons BCEL,org.apache.bcel.verifier.statics,StringRepresentation,237,151,1,1,69,47,33,22,32,22
Apache Commons BCEL,org.apache.bcel.verifier.statics,IntList,0,21,0,0,0,6,0,3,0,3
Apache Commons BCEL,org.apache.bcel.verifier.statics,DOUBLE_Upper,0,12,0,0,0,4,0,3,0,3
Apache Commons BCEL,org.apache.bcel.verifier.statics,Pass2Verifier.FAMRAV_Visitor,243,192,13,13,17,44,12,5,0,4
Apache Commons BCEL,org.apache.bcel.verifier.statics,LocalVariablesInfo,0,82,0,12,0,15,0,10,0,4
Apache Commons BCEL,org.apache.bcel.verifier.statics,Pass2Verifier.CPESSC_Visitor,1573,1469,158,184,146,293,126,77,4,28
Apache Commons BCEL,org.apache.bcel.verifier.statics,LONG_Upper,0,12,0,0,0,4,0,3,0,3
Apache Commons BCEL,org.apache.bcel.verifier.statics,LocalVariableInfo,0,135,0,10,0,22,0,12,0,7
Apache Commons BCEL,org.apache.bcel.verifier.statics,Pass2Verifier.InnerClassDetector,0,52,1,3,0,12,1,4,0,3
Apache Commons BCEL,org.apache.bcel.verifier.statics,Pass2Verifier,195,283,13,37,25,77,12,28,0,15
Apache Commons BCEL,org.apache.bcel.verifier.statics,Pass3aVerifier,460,304,36,34,53,75,27,17,1,8
Apache Commons BCEL,org.apache.bcel.generic,NOP,0,9,0,0,0,4,0,2,0,2
Apache Commons BCEL,org.apache.bcel.generic,ALOAD,5,13,0,0,2,5,1,2,1,2
Apache Commons BCEL,org.apache.bcel.generic,SimpleElementValueGen,95,316,10,24,20,76,11,31,1,16
Apache Commons BCEL,org.apache.bcel.generic,DNEG,0,20,0,0,0,8,0,2,0,2
Apache Commons BCEL,org.apache.bcel.generic,IF_ACMPNE,0,27,0,0,0,10,0,4,0,4
Apache Commons BCEL,org.apache.bcel.generic,FADD,0,20,0,0,0,8,0,2,0,2
Apache Commons BCEL,org.apache.bcel.generic,IFEQ,3,24,0,0,2,8,1,3,1,3
Apache Commons BCEL,org.apache.bcel.generic,Instruction,500,250,95,29,171,82,95,39,6,18
Apache Commons BCEL,org.apache.bcel.generic,ConversionInstruction,15,24,1,7,3,11,2,8,1,2
Apache Commons BCEL,org.apache.bcel.generic,INVOKEINTERFACE,18,111,0,2,7,25,2,8,2,7
Apache Commons BCEL,org.apache.bcel.generic,MethodGen.BranchTarget,9,0,0,0,4,0,1,0,1,0
Apache Commons BCEL,org.apache.bcel.generic,ClassGen.new BCELComparator() {...},1,27,4,6,0,3,4,4,0,3
Apache Commons BCEL,org.apache.bcel.generic,MethodGen.BranchStack,42,19,5,1,9,5,6,2,3,2
Apache Commons BCEL,org.apache.bcel.generic,LRETURN,0,20,0,0,0,8,0,2,0,2
Apache Commons BCEL,org.apache.bcel.generic,IFGE,0,27,0,0,0,10,0,4,0,4
Apache Commons BCEL,org.apache.bcel.generic,IMUL,0,20,0,0,0,8,0,2,0,2
Apache Commons BCEL,org.apache.bcel.generic,StackInstruction,3,7,0,0,2,3,1,2,1,2
Apache Commons BCEL,org.apache.bcel.generic,ICONST,4,54,0,4,2,14,1,6,1,4
