GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons CLI,org.apache.commons.cli.help,HelpAppendable,0,13,0,0,0,4,0,2,0,2
Apache Commons CLI,org.apache.commons.cli.help,AbstractHelpFormatter,37,307,3,23,9,65,9,28,6,18
Apache Commons CLI,org.apache.commons.cli.help,TableDefinition.new TableDefinition() {...},0,27,0,0,0,5,0,5,0,5
Apache Commons CLI,org.apache.commons.cli.help,TextStyle.Alignment,0,21,0,0,0,4,0,1,0,1
Apache Commons CLI,org.apache.commons.cli.help,AbstractHelpFormatter.Builder,10,54,1,3,2,17,2,10,1,9
Apache Commons CLI,org.apache.commons.cli.help,FilterHelpAppendable,0,29,0,0,0,9,0,4,0,4
Apache Commons CLI,org.apache.commons.cli.help,OptionFormatter,3,361,5,25,0,54,5,28,0,18
Apache Commons CLI,org.apache.commons.cli.help,TextStyle,12,208,5,15,1,42,4,17,0,11
Apache Commons CLI,org.apache.commons.cli.help,TextStyle.Builder,0,89,0,0,0,30,0,14,0,14
Apache Commons CLI,org.apache.commons.cli.help,TableDefinition,0,8,0,0,0,1,0,1,0,1
Apache Commons CLI,org.apache.commons.cli.help,Util,15,89,5,21,3,18,5,16,1,7
Apache Commons CLI,org.apache.commons.cli.help,HelpFormatter,0,146,3,5,0,34,3,5,0,4
Apache Commons CLI,org.apache.commons.cli.help,TextHelpAppendable,106,802,15,63,15,149,13,53,2,25
Apache Commons CLI,org.apache.commons.cli.help,OptionFormatter.Builder,15,174,0,0,5,38,3,11,3,11
Apache Commons CLI,org.apache.commons.cli.help,HelpFormatter.Builder,0,16,0,0,0,6,0,3,0,3
Apache Commons CLI,org.apache.commons.cli,PosixParser,48,282,11,41,10,58,10,23,0,7
Apache Commons CLI,org.apache.commons.cli,DeprecatedAttributes,0,84,0,8,0,21,0,12,0,8
Apache Commons CLI,org.apache.commons.cli,MissingArgumentException,0,22,0,0,0,6,0,3,0,3
Apache Commons CLI,org.apache.commons.cli,CommandLine,233,462,28,40,43,93,51,65,30,52
Apache Commons CLI,org.apache.commons.cli,HelpFormatter,193,948,44,92,29,217,40,78,3,47
Apache Commons CLI,org.apache.commons.cli,Option.Builder,4,128,1,7,1,42,2,25,1,22
Apache Commons CLI,org.apache.commons.cli,DefaultParser.Builder,5,33,0,0,2,10,1,5,1,5
Apache Commons CLI,org.apache.commons.cli,DefaultParser,119,950,55,149,18,208,47,88,0,33
Apache Commons CLI,org.apache.commons.cli,ParseException,0,25,0,4,0,9,0,5,0,3
Apache Commons CLI,org.apache.commons.cli,Options,0,327,0,20,0,71,0,32,0,22
Apache Commons CLI,org.apache.commons.cli,OptionValidator,27,113,6,18,3,20,6,12,1,5
Apache Commons CLI,org.apache.commons.cli,Option,102,522,21,59,23,123,20,74,3,51
Apache Commons CLI,org.apache.commons.cli,OptionBuilder,2,147,1,3,0,63,1,22,0,21
Apache Commons CLI,org.apache.commons.cli,Parser,117,264,33,39,30,71,22,28,1,13
Apache Commons CLI,org.apache.commons.cli,HelpFormatter.OptionComparator,0,6,0,0,0,1,0,1,0,1
Apache Commons CLI,org.apache.commons.cli,Util,13,70,8,16,3,13,7,10,1,4
Apache Commons CLI,org.apache.commons.cli,DefaultParser.NonOptionAction,0,27,0,0,0,5,0,1,0,1
Apache Commons CLI,org.apache.commons.cli,PatternOptionBuilder,8,191,0,44,3,54,2,32,2,6
Apache Commons CLI,org.apache.commons.cli,UnrecognizedOptionException,0,15,0,0,0,6,0,3,0,3
Apache Commons CLI,org.apache.commons.cli,AmbiguousOptionException,0,61,0,4,0,16,0,5,0,3
Apache Commons CLI,org.apache.commons.cli,CommandLine.Builder,5,56,0,4,0,16,1,9,1,7
Apache Commons CLI,org.apache.commons.cli,BasicParser,0,5,0,0,0,3,0,2,0,2
Apache Commons CLI,org.apache.commons.cli,GnuParser,0,144,1,21,0,31,1,12,0,2
Apache Commons CLI,org.apache.commons.cli,AlreadySelectedException,0,41,0,0,0,11,0,5,0,5
Apache Commons CLI,org.apache.commons.cli,Converter,7,46,0,2,0,8,1,6,1,5
Apache Commons CLI,org.apache.commons.cli,MissingOptionException,0,46,0,2,0,10,0,5,0,4
Apache Commons CLI,org.apache.commons.cli,DeprecatedAttributes.Builder,0,29,0,0,0,9,0,5,0,5
Apache Commons CLI,org.apache.commons.cli,OptionGroup,0,136,0,16,0,37,0,18,0,10
Apache Commons CLI,org.apache.commons.cli,TypeHandler,20,181,0,2,4,38,4,16,4,15
Apache Commons CLI,org.apache.commons.cli,HelpFormatter.Builder,11,48,1,1,0,13,2,7,1,7
