GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons CLI,org.apache.commons.cli.help,HelpAppendable,0,13,0,0,0,4,0,2,0,2
Apache Commons CLI,org.apache.commons.cli.help,AbstractHelpFormatter,173,171,16,10,39,35,26,11,16,8
Apache Commons CLI,org.apache.commons.cli.help,TableDefinition.new TableDefinition() {...},0,27,0,0,0,5,0,5,0,5
Apache Commons CLI,org.apache.commons.cli.help,TextStyle.Alignment,0,21,0,0,0,4,0,1,0,1
Apache Commons CLI,org.apache.commons.cli.help,AbstractHelpFormatter.Builder,26,38,3,1,6,13,5,7,3,7
Apache Commons CLI,org.apache.commons.cli.help,FilterHelpAppendable,0,29,0,0,0,9,0,4,0,4
Apache Commons CLI,org.apache.commons.cli.help,OptionFormatter,98,266,14,16,14,40,14,19,4,14
Apache Commons CLI,org.apache.commons.cli.help,TextStyle,87,133,12,8,8,35,9,12,1,10
Apache Commons CLI,org.apache.commons.cli.help,TextStyle.Builder,6,83,0,0,2,28,2,12,2,12
Apache Commons CLI,org.apache.commons.cli.help,TableDefinition,0,8,0,0,0,1,0,1,0,1
Apache Commons CLI,org.apache.commons.cli.help,Util,24,80,9,17,4,17,8,13,1,7
Apache Commons CLI,org.apache.commons.cli.help,HelpFormatter,0,146,3,5,0,34,3,5,0,4
Apache Commons CLI,org.apache.commons.cli.help,TextHelpAppendable,183,725,26,52,31,133,33,33,11,16
Apache Commons CLI,org.apache.commons.cli.help,OptionFormatter.Builder,125,64,0,0,26,17,9,5,9,5
Apache Commons CLI,org.apache.commons.cli.help,HelpFormatter.Builder,5,11,0,0,2,4,1,2,1,2
Apache Commons CLI,org.apache.commons.cli,PosixParser,57,273,14,38,12,56,12,21,0,7
Apache Commons CLI,org.apache.commons.cli,DeprecatedAttributes,0,84,0,8,0,21,0,12,0,8
Apache Commons CLI,org.apache.commons.cli,MissingArgumentException,0,22,0,0,0,6,0,3,0,3
Apache Commons CLI,org.apache.commons.cli,CommandLine,257,438,30,38,50,86,53,63,31,51
Apache Commons CLI,org.apache.commons.cli,HelpFormatter,531,610,85,51,90,156,71,47,15,35
Apache Commons CLI,org.apache.commons.cli,Option.Builder,0,132,1,7,0,43,1,26,0,23
Apache Commons CLI,org.apache.commons.cli,DefaultParser.Builder,8,30,0,0,3,9,2,4,2,4
Apache Commons CLI,org.apache.commons.cli,DefaultParser,349,720,102,102,65,161,76,59,1,32
Apache Commons CLI,org.apache.commons.cli,ParseException,3,22,1,3,1,8,1,4,0,3
Apache Commons CLI,org.apache.commons.cli,Options,8,319,1,19,1,70,1,31,0,22
Apache Commons CLI,org.apache.commons.cli,OptionValidator,71,69,13,11,8,15,11,7,2,4
Apache Commons CLI,org.apache.commons.cli,Option,99,525,20,60,23,123,21,73,3,51
Apache Commons CLI,org.apache.commons.cli,OptionBuilder,4,145,0,4,1,62,1,22,1,20
Apache Commons CLI,org.apache.commons.cli,Parser,159,222,41,31,39,62,27,23,1,13
Apache Commons CLI,org.apache.commons.cli,HelpFormatter.OptionComparator,0,6,0,0,0,1,0,1,0,1
Apache Commons CLI,org.apache.commons.cli,Util,15,68,11,13,3,13,10,7,1,4
Apache Commons CLI,org.apache.commons.cli,DefaultParser.NonOptionAction,0,27,0,0,0,5,0,1,0,1
Apache Commons CLI,org.apache.commons.cli,PatternOptionBuilder,13,186,3,41,5,52,6,28,3,5
Apache Commons CLI,org.apache.commons.cli,UnrecognizedOptionException,0,15,0,0,0,6,0,3,0,3
Apache Commons CLI,org.apache.commons.cli,AmbiguousOptionException,0,61,0,4,0,16,0,5,0,3
Apache Commons CLI,org.apache.commons.cli,CommandLine.Builder,8,53,0,4,1,15,2,8,2,6
Apache Commons CLI,org.apache.commons.cli,BasicParser,0,5,0,0,0,3,0,2,0,2
Apache Commons CLI,org.apache.commons.cli,GnuParser,5,139,2,20,1,30,2,11,0,2
Apache Commons CLI,org.apache.commons.cli,AlreadySelectedException,0,41,0,0,0,11,0,5,0,5
Apache Commons CLI,org.apache.commons.cli,Converter,34,19,2,0,0,8,5,2,4,2
Apache Commons CLI,org.apache.commons.cli,MissingOptionException,0,46,0,2,0,10,0,5,0,4
Apache Commons CLI,org.apache.commons.cli,DeprecatedAttributes.Builder,0,29,0,0,0,9,0,5,0,5
Apache Commons CLI,org.apache.commons.cli,OptionGroup,0,136,1,15,0,37,1,17,0,10
Apache Commons CLI,org.apache.commons.cli,TypeHandler,53,148,2,0,8,34,8,12,7,12
Apache Commons CLI,org.apache.commons.cli,HelpFormatter.Builder,28,31,2,0,5,8,5,4,4,4
